"","state_fips","county_fips","CensusRace...STNAME","CensusRace...CTYNAME","land_area","CensusRace...TOT_POP","CensusRace...H","poverty_pct_2014...PCTPOVALL_2014","hail...total_intensity","tornado...total_intensity","wind...total_intensity","natural_amenities...Scale","highfirerisk","PercUnempl","PercMino"
"1",1,1,"Alabama","Autauga County",0.1502600704145,55395,1514,13.1,97.18,30,5694,0.78,0.230360884749709,0.00474772091343984,0.221265457171225
"2",1,3,"Alabama","Baldwin County",0.409937682202052,200111,9130,13,145.2,60,7295,1.82,0.457520938023451,0.00730594520041377,0.128813508502781
"3",1,5,"Alabama","Barbour County",0.223255726739205,26887,1219,25.4,80.29,15,2179,0.19,0.000248972986430972,0.075463978874549,0.497935805407818
"4",1,7,"Alabama","Bibb County",0.156525097951499,22506,474,18.1,72.15,17,3803,-0.15,0.0865129657094063,0.0736248111614681,0.237403359104239
"5",1,9,"Alabama","Blount County",0.16440370938,57719,5042,17.5,94.43,46,7908,0.23,0.00631597162138779,0.00464318508636671,0.0401081099811154
"6",1,11,"Alabama","Bullock County",0.154681952841001,10764,803,35.1,30.51,3,1499,-1.08,0.00306237333933799,0.126532887402453,0.730862133036046
"7",1,13,"Alabama","Butler County",0.191692124895,20296,243,25,38.27,18,2999,-1.16,0.000180929980097702,0.0915451320457233,0.461322428064643
"8",1,15,"Alabama","Calhoun County",0.154328662627999,115916,4090,20.5,140.83,30,6070,0.22,0.284913377142595,0.00948100348528245,0.242253010800925
"9",1,17,"Alabama","Chambers County",0.150586857390365,34076,673,21.3,87.27,15,2473,-0.34,0.0122212892993749,0.00049888484563916,0.417126423289118
"10",1,19,"Alabama","Cherokee County",0.151938798826766,26037,393,18.6,112.46,15,5152,0.64,0.357984139646192,0.0653301071552022,0.0704766294119906
"11",1,21,"Alabama","Chilton County",0.174812055149001,43931,3393,18.1,93.67,24,4503,0.38,0.245340616966581,0.00261774145819581,0.128701827866427
"12",1,23,"Alabama","Choctaw County",0.227715697035334,13323,103,25,67.15,19,5257,0.92,0.000978144581996026,0.100653006079712,0.433911281242963
"13",1,25,"Alabama","Clarke County",0.308576293434498,24945,333,24.9,95.96,32,6277,1.26,0.0642993594785931,0.000360793746241732,0.459530968129886
"14",1,27,"Alabama","Clay County",0.151835491852499,13552,461,19.5,42.16,20,3340,0.21,0.204738675958188,0.0917207792207792,0.171782762691854
"15",1,29,"Alabama","Cleburne County",0.141308060648754,15080,371,17,39.52,20,2434,0.21,0.295309756709305,0.081763925729443,0.0545755968169761
"16",1,31,"Alabama","Coffee County",0.167191942850999,50909,3278,16.8,40.9,44,4159,-0.66,4.13564929693962e-05,0.00390893555167063,0.235950421340038
"17",1,33,"Alabama","Colbert County",0.158870838944833,54543,1392,16.7,118.98,36,15532,0.7,0.0433879633392027,0.00757200740699998,0.1917202940799
"18",1,35,"Alabama","Conecuh County",0.209553543255999,12670,222,30.6,34.51,17,3023,-1,0.219157290394958,0.113733228097869,0.479400157853197
"19",1,37,"Alabama","Coosa County",0.16642186465,10886,252,18.8,49.27,9,1611,1.59,0.194274374023561,0.11344846591953,0.339151203380489
"20",1,39,"Alabama","Covington County",0.256013862746188,37914,614,20.8,112.18,27,5545,-0.17,0.000377439879219239,0.00337606161312444,0.156564857308646
"21",1,41,"Alabama","Crenshaw County",0.150586864688502,13977,233,21.2,34,13,2971,-0.91,9.214466712739e-05,0.0980181727123131,0.280460756957859
"22",1,43,"Alabama","Cullman County",0.191080041017998,81289,3572,17.2,246.68,86,12415,0.64,0.00577797658987549,0.00846362976540491,0.038393878630565
"23",1,45,"Alabama","Dale County",0.138198773910461,49484,3024,22.4,54.15,20,6677,-0.47,0,0.00507234661708835,0.247615390833401
"24",1,47,"Alabama","Dallas County",0.246517364179,41711,399,35.2,124.04,34,4008,-0.18,0.000566508044414231,0.00884658723118602,0.709980580662175
"25",1,49,"Alabama","DeKalb County",0.197869084693414,71065,10096,24,189.38,70,12659,-1.6,0.177414690572586,0.00589601069443467,0.0755083374375572
"26",1,51,"Alabama","Elmore County",0.1634661706885,80977,2215,14.4,110.56,23,7062,2.11,0.0797241142955061,0.00833570026056782,0.240426293885918
"27",1,53,"Alabama","Escambia County",0.2333438030103,37733,785,25.1,52.52,24,4265,-0.03,0.543861722558724,0.00251769008560146,0.377865528847428
"28",1,55,"Alabama","Etowah County",0.138753387069,103531,3804,19,117.53,30,9024,0.96,0.0888524085569178,0.0098810984149675,0.187740869884382
"29",1,57,"Alabama","Fayette County",0.158567914361,16874,244,20.6,47.89,38,4573,-0.38,0.00102834659751408,0.0853383904231362,0.137845205641816
"30",1,59,"Alabama","Franklin County",0.164303438505988,31601,5078,23.1,120.24,22,7474,0.16,0.00544045961002786,0.0011392044555552,0.0811050283218886
"31",1,61,"Alabama","Geneva County",0.14174867651503,26712,955,23.9,34.5,16,3190,-0.51,9.72337012008362e-05,0.0673854447439353,0.128743635819108
"32",1,63,"Alabama","Greene County",0.164642146733,8553,82,33.2,38.15,23,2050,-0.04,0.00021309239686328,0.143341517596165,0.815269496083246
"33",1,65,"Alabama","Hale County",0.163559528575,15184,190,28.1,62.14,26,2603,1.43,0.000300261656586454,0.108469441517387,0.591873024236038
"34",1,67,"Alabama","Henry County",0.139768993864995,17190,440,17.3,30.13,21,3825,0.07,0.00118894283166551,0.0878417684700407,0.295753344968005
"35",1,69,"Alabama","Houston County",0.142476594775597,104193,3478,20.1,84.92,32,8185,-0.79,0.00987033094639056,0.00979912278176077,0.299636251955506
"36",1,71,"Alabama","Jackson County",0.287465416261847,52665,1509,22,114.72,43,9051,1.25,0.00629292046447746,0.00620905724864711,0.0845722965916643
"37",1,73,"Alabama","Jefferson County",0.2825943612835,660793,24828,19.5,489.39,112,18213,0.51,0.0321506372536745,0.00096550659586285,0.460131992923654
"38",1,75,"Alabama","Lamar County",0.152716366317545,14086,204,20.6,122.55,37,8046,-0.85,9.29281665272744e-05,0.088385631123101,0.12927729660656
