"state_fips","county_fips","CensusRace...STNAME","CensusRace...CTYNAME","CensusRace...YEAR","CensusRace...TOT_POP","CensusRace...WA","CensusRace...BA","CensusRace...IA","CensusRace...AA","CensusRace...Na","CensusRace...NH","CensusRace...H","state_county_fips","hail...n_storms","hail...total_intensity","pop_total_2014...POP_ESTIMATE_2014","poverty_num_2014...POVALL_2014","poverty_pct_2014...PCTPOVALL_2014","tornado...n_storms","tornado...total_intensity","unemployed_2014...Unemployed_2014","wind...n_storms","wind...total_intensity","land_area"
1,1,"Alabama","Autauga County",3,54684,43326,9747,255,494,49,53374,1310,"01001",81,97.18,"55,395","7,204",13.1,29,30,"1,496",158,5694,0.1502600704145
1,3,"Alabama","Baldwin County",3,183216,160522,17389,1341,1376,126,175124,8092,"01003",138,145.2,"200,111","25,696",13,89,60,"5,195",241,7295,0.409937682202052
1,5,"Alabama","Barbour County",3,27336,13910,12898,156,119,49,25980,1356,"01005",66,80.29,"26,887","5,943",25.4,18,15,"951",90,2179,0.223255726739205
1,7,"Alabama","Bibb County",3,22879,17529,5047,69,19,32,22466,413,"01007",65,72.15,"22,506","3,666",18.1,17,17,"611",120,3803,0.156525097951499
1,9,"Alabama","Blount County",3,57344,55367,823,355,131,61,52680,4664,"01009",90,94.43,"57,719","10,000",17.5,34,46,"1,513",213,7908,0.16440370938
1,11,"Alabama","Bullock County",3,10886,2881,7719,86,20,78,10096,790,"01011",27,30.51,"10,764","3,179",35.1,12,3,"425",58,1499,0.154681952841001
1,13,"Alabama","Butler County",3,20945,11437,9101,64,192,7,20751,194,"01013",37,38.27,"20,296","4,988",25,21,18,"793",86,2999,0.191692124895
1,15,"Alabama","Calhoun County",3,118443,90549,24478,590,891,111,114532,3911,"01015",122,140.83,"115,916","23,114",20.5,22,30,"3,716",155,6070,0.154328662627999
1,17,"Alabama","Chambers County",3,34111,20223,13271,71,195,15,33570,541,"01017",75,87.27,"34,076","7,170",21.3,14,15,"1,025",84,2473,0.150586857390365
1,19,"Alabama","Cherokee County",3,25968,24215,1205,134,54,6,25643,325,"01019",93,112.46,"26,037","4,768",18.6,12,15,"661",119,5152,0.151938798826766
1,21,"Alabama","Chilton County",3,43682,38481,4348,207,146,83,40238,3444,"01021",80,93.67,"43,931","7,874",18.1,23,24,"1,201",129,4503,0.174812055149001
1,23,"Alabama","Choctaw County",3,13849,7757,5996,19,15,0,13771,78,"01023",64,67.15,"13,323","3,293",25,18,19,"406",135,5257,0.227715697035334
