"state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
1,1,"Alabama","Autauga County",3,54684,43326,9747,255,494,49,53374,1310
1,3,"Alabama","Baldwin County",3,183216,160522,17389,1341,1376,126,175124,8092
1,5,"Alabama","Barbour County",3,27336,13910,12898,156,119,49,25980,1356
1,7,"Alabama","Bibb County",3,22879,17529,5047,69,19,32,22466,413
1,9,"Alabama","Blount County",3,57344,55367,823,355,131,61,52680,4664
1,11,"Alabama","Bullock County",3,10886,2881,7719,86,20,78,10096,790
1,13,"Alabama","Butler County",3,20945,11437,9101,64,192,7,20751,194
1,15,"Alabama","Calhoun County",3,118443,90549,24478,590,891,111,114532,3911
1,17,"Alabama","Chambers County",3,34111,20223,13271,71,195,15,33570,541
1,19,"Alabama","Cherokee County",3,25968,24215,1205,134,54,6,25643,325
1,21,"Alabama","Chilton County",3,43682,38481,4348,207,146,83,40238,3444
1,23,"Alabama","Choctaw County",3,13849,7757,5996,19,15,0,13771,78
1,25,"Alabama","Clarke County",3,25782,14088,11350,102,81,4,25497,285
1,27,"Alabama","Clay County",3,13886,11532,2045,58,28,0,13484,402
1,29,"Alabama","Cleburne County",3,14969,14232,509,48,24,10,14660,309
1,31,"Alabama","Coffee County",3,50179,38862,8521,726,666,225,46968,3211
1,33,"Alabama","Colbert County",3,54505,44308,8840,291,242,20,53395,1110
1,35,"Alabama","Conecuh County",3,13219,6828,6194,45,17,1,13052,167
1,37,"Alabama","Coosa County",3,11757,7818,3732,64,17,17,11530,227
1,39,"Alabama","Covington County",3,37784,32148,4751,234,158,1,37289,495
1,41,"Alabama","Crenshaw County",3,13866,10156,3238,57,207,8,13652,214
1,43,"Alabama","Cullman County",3,80454,77847,926,464,347,33,76993,3461
1,45,"Alabama","Dale County",3,50340,38191,9766,399,539,51,47503,2837
1,47,"Alabama","Dallas County",3,43836,12820,30478,83,160,11,43526,310
1,49,"Alabama","DeKalb County",3,71118,65951,1268,1539,267,611,61424,9694
1,51,"Alabama","Elmore County",3,79444,61313,16126,321,549,86,77297,2147
1,53,"Alabama","Escambia County",3,38312,24092,12253,1299,97,20,37579,733
1,55,"Alabama","Etowah County",3,104501,85466,15976,578,735,334,101044,3457
1,57,"Alabama","Fayette County",3,17247,15007,1981,62,40,0,17040,207
1,59,"Alabama","Franklin County",3,31755,29443,1294,467,81,37,27005,4750
1,61,"Alabama","Geneva County",3,26793,23518,2569,238,73,16,25857,936
1,63,"Alabama","Greene County",3,8992,1597,7327,17,12,0,8927,65
