"state_fips","county_fips","n_storms","total_intensity"
"01","001",81,97.18
"01","003",139,146.95
"01","005",66,80.29
"01","007",67,74.65
"01","009",94,98.43
"01","011",27,30.51
"01","013",37,38.27
"01","015",128,148.33
"01","017",75,87.27
"01","019",93,112.46
"01","021",81,94.67
"01","023",64,67.15
"01","025",96,96.84
"01","027",48,43.91
"01","029",38,40.52
"01","031",40,42.66
"01","033",115,121.98
"01","035",29,34.51
"01","037",47,49.27
"01","039",95,112.93
"01","041",32,34
"01","043",217,258.68
"01","045",49,55.15
"01","047",92,124.04
"01","049",169,193.13
"01","051",93,110.56
"01","053",52,53.52
"01","055",103,126.03
"01","057",48,48.89
"01","059",113,121.12
"01","061",23,34.5
"01","063",38,39.4
"01","065",50,62.14
"01","067",30,32.01
"01","069",78,85.92
"01","071",108,120.47
"01","073",428,493.39
"01","075",113,124.8
"01","077",177,200.4
"01","079",147,165.62
"01","081",100,107.31
"01","083",150,175.35
"01","085",51,54.41
"01","087",50,65.65
"01","089",324,368.57
"01","091",62,78.53
"01","093",123,138.7
"01","095",156,176.02
"01","097",214,228.45
"01","099",61,67.91
"01","101",109,127.06
"01","103",154,192.38
"01","105",43,54.27
"01","107",74,78.17
"01","109",38,47.51
"01","111",88,96.17
"01","113",72,91.06
"01","115",94,99.47
"01","117",177,188.28
"01","119",94,93.31
"01","121",113,124.3
"01","123",90,104.67
"01","125",231,253.31
"01","127",150,188.97
"01","129",75,81.52
"01","131",29,30.4
"01","133",101,110.58
"02","101",1,0.75
"02","111",2,1.75
"02","121",5,4
"02","125",1,0.75
"02","141",3,2.5
"02","145",5,4.5
"02","151",1,0.75
"02","221",1,0.75
"02","222",2,1.5
"02","223",1,1.5
"02","224",1,0.75
"04","001",15,17.76
"04","003",87,86.41
"04","005",131,134.68
"04","007",55,61.16
"04","009",12,14.63
"04","011",9,8.88
"04","012",6,7
"04","013",120,124.32
"04","015",60,64.43
"04","017",45,44.89
"04","019",133,137.52
"04","021",50,46.39
"04","023",26,30.51
"04","025",136,147.05
"04","027",18,16.26
"04","029",1,1.75
"05","001",114,143.8
"05","003",117,139.16
"05","005",171,200.12
"05","007",271,316.8
