"n_storms","total_intensity","intensity_per_area","state_fips","county_fips"
18,393770.833333333,145588.627418189,1,1
17,1150042.24537037,303013.700178632,1,5
28,1155617.47685185,181243.77582238,1,23
8,181255.787037037,142612.536889147,1,33
26,786204.861111111,122663.361280777,1,47
21,748329.282407407,234094.078176177,1,87
29,1005157.98611111,142327.7453428,1,91
14,738408.781828704,266141.43910884,1,101
14,411550.925925926,131823.929888187,1,107
41,1117896.99074074,134390.392079468,1,117
22,1265309.60648148,256468.702140252,1,131
NA,1000,5458.45184593863,4,12
NA,1000,5458.45184593863,4,21
NA,1000,5458.45184593863,4,27
4,149307.291666667,234705.318462948,5,13
2,12629.6296296296,43433.7938929848,5,29
6,223750,187282.566637813,5,63
5,121005.208333333,104446.622697,5,69
20,364134.837962963,76702.9011868646,5,93
4,147479.74537037,198110.884491178,5,103
8,205546.296296296,124731.7448028,5,119
6,208802.083333333,131685.986510007,5,139
13,115957.75462963,36755.2097820639,5,149
NA,1000,5458.45184593863,6,9
NA,1000,5458.45184593863,6,11
NA,1000,5458.45184593863,6,19
NA,1000,5458.45184593863,6,21
NA,1000,5458.45184593863,6,27
NA,1000,5458.45184593863,6,37
NA,1000,5458.45184593863,6,47
NA,1000,5458.45184593863,6,67
NA,1000,5458.45184593863,6,87
NA,1000,5458.45184593863,6,93
NA,1000,5458.45184593863,8,1
NA,1000,5458.45184593863,8,15
NA,1000,5458.45184593863,8,59
NA,1000,5458.45184593863,8,69
NA,1000,5458.45184593863,8,93
NA,1000,5458.45184593863,8,109
6,701739.583333333,1086430.3371918,9,7
1,20796.875,1131892.15007409,11,1
26,9622828.125,2454760.827974,12,27
58,5385853.58796296,449924.872286508,12,31
64,7132219.3287037,432744.526885999,12,57
103,11879672.4537037,288675.020810177,12,83
44,6889480.54108796,653859.023302708,12,95
24,2593079.28240741,1385335.37712061,12,103
75,13278550.9259259,632267.380404084,12,113
42,4827515.625,828690.777635214,12,119
30,3909218.75,775854.762319089,12,121
10,2489412.61574074,4113242.01555026,12,125
92,10246436.8489583,366579.679304517,12,127
23,1632538.19444444,562215.073218104,13,1
15,1144639.46759259,890207.25905577,13,7
5,123828.125,369054.698219207,13,9
1,4629.62962962963,112446.009184615,13,13
27,2210376.15740741,731797.064832127,13,29
44,9460723.37962963,1282687.42780293,13,39
3,170875,601536.914092429,13,105
3,58250,144125.309333407,13,121
3,69625,210313.679765286,13,135
8,206489.00462963,215506.332790214,13,141
2,91000,554897.952976832,13,151
6,246259.837962963,632668.617385194,13,181
26,2438322.33796296,794155.111117329,13,191
18,1275130.20833333,1168580.89092241,13,209
6,147911.458333333,278767.401667302,13,213
22,1595810.76388889,789872.900907592,13,279
12,625886.574074074,1037709.35719262,13,283
18,932673.032407407,697239.965708803,13,309
1,8000,107732.539690278,13,313
NA,1000,5458.45184593863,16,7
NA,1000,5458.45184593863,16,21
NA,1000,5458.45184593863,16,23
NA,1000,5458.45184593863,16,27
NA,1000,5458.45184593863,16,29
NA,1000,5458.45184593863,16,33
NA,1000,5458.45184593863,16,35
NA,1000,5458.45184593863,16,39
NA,1000,5458.45184593863,16,81
1,15625,235301.122947115,17,3
1,15625,149114.148440169,17,17
2,30375,255239.718689711,17,47
NA,1000,5458.45184593863,17,123
5,70500,263776.514751634,17,153
NA,1000,5458.45184593863,18,33
12,165500,98118.7553832913,18,83
