"state_county_fips","Dollars"
"01001",36419
"01003",39040
"01005",30449
"01007",28314
"01009",31464
"01011",26934
"01013",32954
"01015",32753
"01017",31657
"01019",32034
"01021",29941
"01023",30263
"01025",32149
"01027",32028
"01029",30954
"01031",38941
"01033",34616
"01035",30009
"01037",27057
"01039",31568
"01041",34461
"01043",35548
"01045",33274
"01047",31103
"01049",29724
"01051",36528
"01053",30755
"01055",33374
"01057",29890
"01059",30509
"01061",31722
"01063",31745
"01065",34953
"01067",35273
"01069",37316
"01071",33550
"01073",48582
"01075",30143
"01077",33933
"01079",31667
"01081",33064
"01083",37435
"01085",36082
"01087",30828
"01089",44517
"01091",37235
"01093",28783
"01095",31796
"01097",35031
"01099",30799
"01101",41008
"01103",35188
"01105",29647
"01107",30233
"01109",35125
"01111",31626
"01113",29080
"01117",45879
"01115",32737
"01119",31164
"01121",31233
"01123",35369
"01125",35482
"01127",37085
"01129",33496
"01131",27815
"01133",29657
"02013",36946
"02016",53010
"02020",61134
"02050",37075
"02060",59603
"02068",64631
"02070",50212
"02090",51792
"02100",78115
"02105",49585
"02110",57033
"02122",50760
"02130",57876
"02150",53792
"02164",46787
"02170",44820
"02180",44413
"02185",34061
"02188",44965
"02195",58426
"02198",37684
"02220",61204
"02230",77937
"02240",39605
"02261",56571
"02270",28762
"02275",43230
"02282",45364
"02290",54323
"04001",28521
"04003",36720
"04005",39220
"04007",34463
"04009",29000
"04011",37431
"04012",29219
"04013",41222
"04015",27704
"04017",27434
"04019",37031
"04021",25846
"04023",30164
"04025",32774
"04027",28742
"05001",42602
"05003",32540
"05005",33472
"05007",68773
"05009",32498
"05011",32578
"05013",29043
"05015",31599
"05017",33652
"05019",30985
"05021",33496
"05023",33949
"05025",34592
"05027",34990
"05029",36170
"05031",33649
"05033",30399
"05035",33335
"05037",35560
"05039",29925
"05041",38024
"05043",34243
"05045",33350
"05047",30317
"05049",26991
"05051",36218
"05053",33876
"05055",30549
"05057",30298
"05059",28524
"05061",32232
"05063",32403
"05065",28371
"05067",29730
"05069",31684
"05071",26275
"05073",35706
"05075",29623
"05077",28088
"05079",25195
"05081",32148
"05083",34126
"05085",34897
"05087",32671
"05089",28069
"05091",31279
"05093",32786
"05095",35577
"05097",27765
"05099",32620
"05101",25991
"05103",33007
"05105",31679
"05107",32874
"05109",29770
"05111",30383
"05113",29061
"05115",31962
"05117",33892
"05119",46349
"05121",29328
"05125",36076
"05127",28670
"05129",27775
"05131",37658
"05133",26515
"05135",29009
"05123",25369
"05137",27678
"05139",46862
"05141",29698
"05143",34592
"05145",31813
"05147",34082
"05149",30915
"06001",56261
"06003",62410
"06005",39504
"06007",37005
"06009",43099
"06011",43840
"06013",63752
"06015",30437
"06017",56965
"06019",35785
"06021",38278
"06023",37783
"06025",32398
"06027",44602
"06029",36165
"06031",32371
"06033",35259
"06035",33432
"06037",49400
"06039",33042
"06041",98626
"06043",41893
"06045",39545
"06047",33865
"06049",40541
"06051",43398
"06053",46109
"06055",54596
"06057",50312
"06059",55096
"06061",54423
"06063",45554
"06065",33590
"06067",43944
"06069",41486
"06071",32892
"06073",51459
"06075",90600
"06077",36136
"06079",45947
"06081",89659
"06083",50523
"06085",74883
"06087",52280
"06089",37905
"06091",37239
"06093",37002
"06095",42073
"06097",49185
"06099",36356
"06101",38871
"06103",32666
