"state_county_fips","POP_ESTIMATE_2014"
0,"318,857,056"
1000,"4,849,377"
1001,"55,395"
1003,"200,111"
1005,"26,887"
1007,"22,506"
1009,"57,719"
1011,"10,764"
1013,"20,296"
1015,"115,916"
1017,"34,076"
1019,"26,037"
1021,"43,931"
1023,"13,323"
1025,"24,945"
1027,"13,552"
1029,"15,080"
1031,"50,909"
1033,"54,543"
1035,"12,670"
1037,"10,886"
1039,"37,914"
1041,"13,977"
1043,"81,289"
1045,"49,484"
1047,"41,711"
1049,"71,065"
1051,"80,977"
1053,"37,733"
1055,"103,531"
1057,"16,874"
1059,"31,601"
1061,"26,712"
1063,"8,553"
1065,"15,184"
1067,"17,190"
1069,"104,193"
1071,"52,665"
1073,"660,793"
1075,"14,086"
1077,"93,096"
1079,"33,477"
1081,"154,255"
1083,"90,787"
1085,"10,580"
1087,"19,425"
1089,"350,299"
1091,"20,110"
1093,"30,271"
1095,"94,636"
1097,"415,123"
1099,"21,947"
1101,"226,189"
1103,"119,607"
1105,"9,826"
1107,"20,365"
1109,"33,389"
1111,"22,539"
1113,"59,608"
1115,"86,697"
1117,"206,655"
1119,"13,166"
1121,"81,322"
1123,"41,165"
1125,"202,212"
1127,"65,471"
1129,"16,834"
1131,"11,098"
1133,"24,150"
2000,"736,732"
2013,"3,360"
2016,"5,750"
2020,"301,010"
2050,"17,868"
2060,"957"
2068,"1,921"
2070,"4,988"
2090,"99,357"
2100,"2,566"
2105,"2,082"
2110,"32,406"
2122,"57,477"
2130,"13,787"
2150,"13,986"
2164,"1,631"
2170,"97,882"
2180,"9,817"
2185,"9,703"
2188,"7,717"
2195,"3,160"
2198,"6,396"
2220,"8,900"
2230,"1,036"
2240,"6,931"
2261,"9,488"
2270,"8,010"
2275,"2,364"
2282,"635"
2290,"5,547"
4000,"6,731,484"
4001,"71,828"
4003,"127,448"
4005,"137,682"
4007,"53,119"
4009,"37,957"
4011,"9,346"
4012,"20,231"
4013,"4,087,191"
4015,"203,361"
4017,"108,101"
4019,"1,004,516"
4021,"401,918"
4023,"46,695"
4025,"218,844"
4027,"203,247"
5000,"2,966,369"
5001,"18,594"
5003,"20,948"
5005,"40,857"
5007,"242,321"
5009,"37,196"
5011,"11,148"
5013,"5,202"
5015,"27,744"
5017,"11,180"
5019,"22,576"
5021,"15,118"
5023,"25,634"
5025,"8,449"
5027,"23,933"
5029,"21,083"
5031,"102,518"
5033,"61,697"
5035,"49,548"
5037,"17,227"
5039,"7,755"
5041,"12,264"
5043,"18,622"
5045,"120,768"
5047,"17,805"
5049,"12,125"
5051,"97,322"
5053,"18,144"
5055,"43,694"
5057,"22,327"
5059,"33,368"
5061,"13,500"
5063,"36,959"
5065,"13,486"
5067,"17,534"
5069,"72,297"
5071,"26,005"
5073,"7,111"
5075,"16,931"
5077,"9,860"
5079,"13,970"
5081,"12,532"
5083,"21,958"
5085,"71,557"
5087,"15,740"
5089,"16,367"
5091,"43,428"
5093,"44,235"
5095,"7,582"
5097,"9,082"
5099,"8,723"
5101,"7,904"
5103,"24,828"
5105,"10,245"
5107,"19,930"
5109,"11,024"
5111,"24,246"
5113,"20,225"
5115,"63,201"
5117,"8,304"
5119,"392,702"
5121,"17,571"
5123,"26,899"
5125,"115,719"
5127,"10,693"
5129,"7,929"
5131,"126,776"
5133,"17,426"
5135,"16,906"
5137,"12,494"
5139,"40,227"
5141,"16,851"
5143,"220,792"
5145,"78,592"
5147,"6,910"
5149,"21,951"
6000,"38,802,500"
6001,"1,610,921"
6003,"1,116"
6005,"36,742"
6007,"224,241"
6009,"44,624"
6011,"21,419"
6013,"1,111,339"
6015,"27,212"
6017,"183,087"
6019,"965,974"
6021,"27,955"
6023,"134,809"
6025,"179,091"
6027,"18,410"
6029,"874,589"
6031,"150,269"
6033,"64,184"
6035,"31,749"
6037,"10,116,705"
6039,"154,548"
6041,"260,750"
6043,"17,682"
6045,"87,869"
6047,"266,353"
6049,"9,023"
6051,"13,997"
6053,"431,344"
6055,"141,667"
6057,"98,893"
6059,"3,145,515"
6061,"371,694"
6063,"18,606"
6065,"2,329,271"
6067,"1,482,026"
6069,"58,267"
6071,"2,112,619"
6073,"3,263,431"
6075,"852,469"
6077,"715,597"
6079,"279,083"
6081,"758,581"
6083,"440,668"
6085,"1,894,605"
6087,"271,804"
6089,"179,804"
6091,"3,003"
6093,"43,628"
6095,"431,131"
6097,"500,292"
6099,"531,997"
6101,"95,847"
6103,"63,067"
6105,"13,170"
6107,"458,198"
6109,"53,831"
6111,"846,178"
