"state_county_fips","POVALL_2014","PCTPOVALL_2014"
0,"48,208,387",15.5
1000,"905,682",19.2
1001,"7,204",13.1
1003,"25,696",13
1005,"5,943",25.4
1007,"3,666",18.1
1009,"10,000",17.5
1011,"3,179",35.1
1013,"4,988",25
1015,"23,114",20.5
1017,"7,170",21.3
1019,"4,768",18.6
1021,"7,874",18.1
1023,"3,293",25
1025,"6,137",24.9
1027,"2,592",19.5
1029,"2,527",17
1031,"8,407",16.8
1033,"9,022",16.7
1035,"3,846",30.6
1037,"1,976",18.8
1039,"7,778",20.8
1041,"2,929",21.2
1043,"13,809",17.2
1045,"10,865",22.4
1047,"14,470",35.2
1049,"16,856",24
1051,"10,867",14.4
1053,"8,639",25.1
1055,"19,291",19
1057,"3,425",20.6
1059,"7,222",23.1
1061,"6,303",23.9
1063,"2,819",33.2
1065,"4,182",28.1
1067,"2,925",17.3
1069,"20,643",20.1
1071,"11,440",22
1073,"125,778",19.5
1075,"2,856",20.6
1077,"17,041",18.7
1079,"5,499",16.6
1081,"37,752",25.2
1083,"11,912",13.6
1085,"3,285",31.4
1087,"5,649",32.1
1089,"48,750",14.2
1091,"5,071",25.6
1093,"5,925",20.2
1095,"20,528",22
1097,"80,016",19.6
1099,"5,484",25.3
1101,"48,844",22.5
1103,"17,665",15
1105,"4,246",46.9
1107,"4,667",25
1109,"8,237",26.4
1111,"4,512",20.4
1113,"12,309",20.9
1115,"12,071",14.3
1117,"19,610",9.6
1119,"4,692",38.1
1121,"17,499",22.5
1123,"8,633",21.3
1125,"34,553",18
1127,"15,161",23.5
1129,"3,077",18.5
1131,"3,697",33.7
1133,"4,796",20.1
2000,"81,622",11.4
2013,"544",16.2
2016,"549",9.9
2020,"29,207",10
2050,"4,166",23.8
2060,"89",9.5
2068,"133",7.1
2070,"867",17.5
2090,"9,011",9.5
2100,"252",9.8
2105,"397",19.1
2110,"2,500",7.9
2122,"6,472",11.5
2130,"1,685",12.4
2150,"1,146",8.3
2164,"288",17.7
2170,"10,243",10.7
2180,"2,509",26.1
2185,"1,112",11.5
2188,"1,771",23.2
2195,"276",8.8
2198,"1,105",17.4
2220,"750",8.6
2230,"37",3.6
2240,"949",13.8
2261,"931",9.9
2270,"2,845",35.7
2275,"280",11.9
2282,"94",14.8
2290,"1,416",25.7
4000,"1,195,889",18.2
4001,"23,458",33.1
4003,"22,879",18.7
4005,"27,154",21.3
4007,"12,683",24.4
4009,"6,907",20
4011,"955",10.3
4012,"4,545",22.8
4013,"687,643",17.1
4015,"41,178",20.8
4017,"30,157",28.5
4019,"183,590",18.7
4021,"66,073",17.6
4023,"10,966",23.6
4025,"33,589",15.6
4027,"44,112",22.6
5000,"539,999",18.7
5001,"3,735",20.4
5003,"4,707",22.7
5005,"6,021",14.9
5007,"28,436",11.9
5009,"6,206",16.9
5011,"3,012",27.4
5013,"902",18
5015,"4,909",17.9
5017,"3,357",32.1
5019,"4,285",21.5
5021,"2,981",19.9
5023,"3,831",15.2
5025,"1,393",16.6
5027,"5,363",24.1
5029,"3,797",18.3
5031,"21,974",22.3
5033,"10,152",16.6
5035,"13,323",27.3
5037,"3,779",22.3
5039,"1,544",21
5041,"3,325",27.3
5043,"4,249",24
5045,"17,140",14.7
5047,"3,066",17.5
5049,"2,700",22.6
5051,"17,929",18.7
5053,"2,382",13.3
5055,"6,994",16.3
5057,"5,383",24.4
5059,"5,815",18.7
5061,"2,497",18.8
5063,"6,695",18.6
5065,"2,756",22
5067,"3,864",25.1
5069,"18,042",26.8
5071,"4,991",19.7
5073,"1,916",27.5
5075,"3,742",23
5077,"3,181",39.3
5079,"2,958",29
5081,"2,256",18.2
5083,"4,532",21.1
5085,"8,704",12.3
5087,"2,803",18
5089,"3,292",20.3
5091,"8,756",20.8
5093,"11,744",27.1
5095,"2,103",28.1
5097,"1,801",20.1
5099,"2,147",25.1
5101,"1,574",20.1
5103,"5,617",23
5105,"1,751",17.3
5107,"6,950",35.3
5109,"2,161",20
5111,"5,239",21.9
5113,"4,399",22
5115,"10,868",18.3
5117,"1,526",18.7
5119,"61,892",16.1
5121,"3,141",18.3
5123,"7,607",33.4
5125,"9,909",8.7
5127,"2,501",23.7
5129,"1,828",23.3
5131,"27,549",22.1
5133,"3,514",20.4
5135,"3,603",21.6
5137,"3,010",24.4
5139,"9,184",23.1
5141,"3,647",22
5143,"41,097",19.3
5145,"14,506",19.4
5147,"1,707",25.1
5149,"3,749",17.4
6000,"6,253,423",16.4
6001,"197,984",12.5
6003,"211",19
6005,"4,313",12.9
6007,"48,151",21.9
6009,"6,057",13.7
6011,"3,030",14.3
6013,"115,466",10.5
6015,"5,388",22.4
6017,"20,715",11.4
6019,"261,387",27.5
6021,"4,723",17.1
6023,"27,609",21
6025,"40,162",23.6
6027,"2,533",14
6029,"206,604",24.5
6031,"33,174",24.9
6033,"15,387",24.3
6035,"4,473",19.4
6037,"1,863,025",18.7
6039,"32,542",22.3
6041,"22,272",8.8
6043,"2,830",16.2
6045,"16,256",18.8
6047,"64,585",24.8
6049,"1,770",20.2
6051,"1,558",11.3
6053,"70,259",17
6055,"12,317",9
6057,"11,193",11.4
6059,"400,252",12.9
6061,"30,490",8.3
6063,"2,556",14
6065,"392,706",17.1
6067,"264,955",18.1
6069,"8,162",14.1
6071,"422,405",20.4
6073,"467,248",14.7
6075,"101,313",12.1
6077,"145,167",20.7
6079,"38,048",14.5
6081,"56,580",7.5
6083,"73,600",17.4
6085,"159,553",8.5
6087,"42,076",16.1
6089,"26,016",14.7
6091,"409",13.8
6093,"9,076",21.1
6095,"51,638",12.3
6097,"55,742",11.3
6099,"95,456",18.1
6101,"14,485",15.2
6103,"11,358",18.2
6105,"2,577",19.9
6107,"127,305",28.1
6109,"7,177",14.3
6111,"95,912",11.5
6113,"39,493",19.5
6115,"15,693",21.6
8000,"632,987",12.1
8001,"61,384",12.9
8003,"3,385",22.5
