"state_county_fips","POVALL_2014"
0,"48,208,387"
1000,"905,682"
1001,"7,204"
1003,"25,696"
1005,"5,943"
1007,"3,666"
1009,"10,000"
1011,"3,179"
1013,"4,988"
1015,"23,114"
1017,"7,170"
1019,"4,768"
1021,"7,874"
1023,"3,293"
1025,"6,137"
1027,"2,592"
1029,"2,527"
1031,"8,407"
1033,"9,022"
1035,"3,846"
1037,"1,976"
1039,"7,778"
1041,"2,929"
1043,"13,809"
1045,"10,865"
1047,"14,470"
1049,"16,856"
1051,"10,867"
1053,"8,639"
1055,"19,291"
1057,"3,425"
1059,"7,222"
1061,"6,303"
1063,"2,819"
1065,"4,182"
1067,"2,925"
1069,"20,643"
1071,"11,440"
1073,"125,778"
1075,"2,856"
1077,"17,041"
1079,"5,499"
1081,"37,752"
1083,"11,912"
1085,"3,285"
1087,"5,649"
1089,"48,750"
1091,"5,071"
1093,"5,925"
1095,"20,528"
1097,"80,016"
1099,"5,484"
1101,"48,844"
1103,"17,665"
1105,"4,246"
1107,"4,667"
1109,"8,237"
1111,"4,512"
1113,"12,309"
1115,"12,071"
1117,"19,610"
1119,"4,692"
1121,"17,499"
1123,"8,633"
1125,"34,553"
1127,"15,161"
1129,"3,077"
1131,"3,697"
1133,"4,796"
2000,"81,622"
2013,"544"
2016,"549"
2020,"29,207"
2050,"4,166"
2060,"89"
2068,"133"
2070,"867"
2090,"9,011"
2100,"252"
2105,"397"
2110,"2,500"
2122,"6,472"
2130,"1,685"
2150,"1,146"
2164,"288"
2170,"10,243"
2180,"2,509"
2185,"1,112"
2188,"1,771"
2195,"276"
2198,"1,105"
2220,"750"
2230,"37"
2240,"949"
2261,"931"
2270,"2,845"
2275,"280"
2282,"94"
2290,"1,416"
4000,"1,195,889"
4001,"23,458"
4003,"22,879"
4005,"27,154"
4007,"12,683"
4009,"6,907"
4011,"955"
4012,"4,545"
4013,"687,643"
4015,"41,178"
4017,"30,157"
4019,"183,590"
4021,"66,073"
4023,"10,966"
4025,"33,589"
4027,"44,112"
5000,"539,999"
5001,"3,735"
5003,"4,707"
5005,"6,021"
5007,"28,436"
5009,"6,206"
5011,"3,012"
5013,"902"
5015,"4,909"
5017,"3,357"
5019,"4,285"
5021,"2,981"
5023,"3,831"
5025,"1,393"
5027,"5,363"
5029,"3,797"
5031,"21,974"
5033,"10,152"
5035,"13,323"
5037,"3,779"
5039,"1,544"
5041,"3,325"
5043,"4,249"
5045,"17,140"
5047,"3,066"
5049,"2,700"
5051,"17,929"
5053,"2,382"
5055,"6,994"
5057,"5,383"
5059,"5,815"
5061,"2,497"
5063,"6,695"
5065,"2,756"
5067,"3,864"
5069,"18,042"
5071,"4,991"
5073,"1,916"
5075,"3,742"
5077,"3,181"
5079,"2,958"
5081,"2,256"
5083,"4,532"
5085,"8,704"
5087,"2,803"
5089,"3,292"
5091,"8,756"
5093,"11,744"
5095,"2,103"
5097,"1,801"
5099,"2,147"
5101,"1,574"
5103,"5,617"
5105,"1,751"
5107,"6,950"
5109,"2,161"
5111,"5,239"
5113,"4,399"
5115,"10,868"
5117,"1,526"
5119,"61,892"
5121,"3,141"
5123,"7,607"
5125,"9,909"
5127,"2,501"
5129,"1,828"
5131,"27,549"
5133,"3,514"
5135,"3,603"
5137,"3,010"
5139,"9,184"
5141,"3,647"
5143,"41,097"
5145,"14,506"
5147,"1,707"
5149,"3,749"
6000,"6,253,423"
6001,"197,984"
6003,"211"
6005,"4,313"
6007,"48,151"
6009,"6,057"
6011,"3,030"
6013,"115,466"
6015,"5,388"
6017,"20,715"
6019,"261,387"
6021,"4,723"
6023,"27,609"
6025,"40,162"
6027,"2,533"
6029,"206,604"
6031,"33,174"
6033,"15,387"
6035,"4,473"
6037,"1,863,025"
6039,"32,542"
6041,"22,272"
6043,"2,830"
6045,"16,256"
6047,"64,585"
6049,"1,770"
6051,"1,558"
6053,"70,259"
6055,"12,317"
6057,"11,193"
6059,"400,252"
6061,"30,490"
6063,"2,556"
6065,"392,706"
6067,"264,955"
6069,"8,162"
6071,"422,405"
6073,"467,248"
6075,"101,313"
6077,"145,167"
6079,"38,048"
6081,"56,580"
6083,"73,600"
6085,"159,553"
6087,"42,076"
6089,"26,016"
6091,"409"
6093,"9,076"
6095,"51,638"
6097,"55,742"
6099,"95,456"
6101,"14,485"
6103,"11,358"
6105,"2,577"
6107,"127,305"
6109,"7,177"
6111,"95,912"
6113,"39,493"
6115,"15,693"
8000,"632,987"
8001,"61,384"
8003,"3,385"
8005,"68,849"
8007,"1,782"
8009,"711"
8011,"1,278"
8013,"40,299"
8014,"2,464"
8015,"2,114"
8017,"243"
8019,"769"
8021,"1,888"
8023,"1,015"
8025,"1,244"
8027,"624"
8029,"4,574"
8031,"103,412"
8033,"304"
8035,"11,740"
8037,"4,116"
8039,"1,408"
8041,"78,363"
8043,"7,282"
8045,"5,777"
8047,"459"
8049,"1,511"
8051,"2,216"
8053,"78"
8055,"1,385"
8057,"232"
8059,"45,482"
8061,"187"
8063,"1,080"
8065,"1,158"
8067,"5,549"
8069,"40,447"
8071,"2,314"
8073,"814"
8075,"3,296"
8077,"22,155"
8079,"62"
8081,"1,439"
8083,"4,157"
8085,"6,257"
8087,"3,718"
8089,"4,686"
8091,"444"
8093,"1,525"
8095,"494"
8097,"1,228"
8099,"2,444"
8101,"29,845"
8103,"700"
8105,"2,087"
8107,"1,997"
8109,"1,842"
8111,"111"
8113,"774"
8115,"323"
8117,"2,831"
8119,"2,202"
8121,"524"
8123,"28,515"
8125,"1,394"
9000,"375,281"
9001,"83,132"
9003,"106,078"
9005,"14,015"
9007,"12,636"
9009,"108,729"
9011,"28,868"
9013,"10,253"
9015,"11,570"
10000,"118,032"
10001,"23,484"
10003,"65,642"
10005,"28,907"
11000,"114,790"
11001,"114,790"
12000,"3,231,142"
12001,"52,756"
12003,"4,826"
12005,"27,165"
12007,"5,287"
12009,"79,657"
12011,"268,418"
12013,"2,800"
12015,"19,704"
12017,"27,449"
12019,"21,658"
12021,"49,211"
12023,"13,604"
12027,"9,434"
12029,"3,911"
12031,"159,748"
12033,"44,320"
12035,"11,775"
12037,"2,507"
12039,"11,119"
12041,"3,139"
12043,"2,559"
12045,"2,836"
12047,"3,653"
12049,"7,642"
12051,"9,581"
12053,"26,629"
12055,"18,898"
12057,"217,968"
12059,"4,743"
12061,"21,098"
12063,"9,787"
12065,"2,285"
12067,"1,791"
12069,"42,954"
12071,"107,493"
12073,"62,734"
12075,"8,323"
12077,"1,544"
12079,"4,567"
12081,"49,017"
12083,"58,576"
