"state_fips","county_fips","n_storms","total_intensity"
"01","001",29,30
"01","003",89,60
"01","005",18,15
"01","007",17,17
"01","009",34,46
"01","011",12,3
"01","013",21,18
"01","015",22,30
"01","017",14,15
"01","019",12,15
"01","021",23,24
"01","023",18,19
"01","025",31,32
"01","027",21,20
"01","029",15,20
"01","031",36,44
"01","033",31,36
"01","035",22,17
"01","037",9,9
"01","039",38,27
"01","041",18,13
"01","043",66,86
"01","045",27,20
"01","047",32,34
"01","049",42,70
"01","051",28,23
"01","053",25,24
"01","055",21,30
"01","057",34,38
"01","059",14,22
"01","061",22,16
"01","063",13,23
"01","065",27,26
"01","067",17,21
"01","069",33,32
"01","071",32,43
"01","073",85,112
"01","075",32,37
"01","077",32,39
"01","079",25,31
"01","081",17,19
"01","083",49,44
"01","085",19,23
"01","087",13,11
"01","089",56,53
"01","091",25,26
"01","093",30,44
"01","095",51,61
"01","097",84,68
"01","099",23,31
"01","101",36,32
"01","103",27,37
"01","105",21,24
"01","107",38,55
"01","109",30,38
"01","111",12,11
"01","113",22,34
"01","115",29,41
"01","117",32,32
"01","119",19,24
"01","121",27,39
"01","123",27,19
"01","125",60,71
"01","127",42,54
"01","129",25,25
"01","131",6,9
"01","133",23,23
"04","001",13,0
"04","003",14,3
"04","005",34,18
"04","007",3,2
"04","013",59,39
"04","015",15,8
"04","017",18,1
"04","019",19,13
"04","021",25,14
"04","023",1,0
"04","025",24,0
"04","027",11,6
"05","001",36,40
"05","003",31,38
"05","005",14,14
"05","007",43,41
"05","009",11,14
"05","011",17,20
"05","013",14,15
"05","015",12,10
"05","017",28,24
"05","019",29,33
"05","021",17,17
"05","023",17,25
"05","025",9,11
"05","027",27,36
"05","029",34,50
"05","031",32,28
"05","033",22,31
"05","035",13,13
"05","037",14,17
"05","039",21,24
"05","041",19,22
"05","043",16,22
"05","045",47,80
"05","047",19,19
"05","049",17,19
"05","051",35,42
"05","053",18,19
"05","055",21,26
"05","057",23,23
"05","059",26,38
"05","061",27,26
"05","063",33,41
"05","065",19,26
"05","067",35,47
"05","069",28,27
"05","071",29,40
"05","073",7,9
"05","075",17,22
"05","077",9,7
"05","079",16,14
"05","081",19,22
"05","083",18,28
"05","085",55,57
"05","087",16,17
"05","089",17,25
"05","091",25,24
"05","093",36,45
"05","095",20,21
"05","097",9,10
"05","099",14,19
"05","101",9,7
"05","103",17,15
"05","105",13,20
"05","107",21,23
"05","109",20,24
"05","111",31,30
"05","113",35,39
"05","115",17,25
"05","117",21,18
"05","119",74,83
"05","121",11,14
"05","123",17,16
"05","125",39,57
"05","127",6,5
"05","129",13,15
"05","131",28,27
"05","133",14,19
"05","135",16,19
"05","137",17,20
"05","139",36,41
"05","141",27,37
"05","143",26,29
"05","145",57,70
"05","147",28,50
"05","149",23,27
"06","001",3,0
"06","007",16,10
"06","009",1,0
"06","011",3,0
"06","013",5,1
"06","015",6,2
"06","017",1,0
"06","019",27,9
"06","021",11,8
"06","023",1,2
"06","025",7,2
"06","027",1,0
"06","029",12,1
"06","031",8,4
"06","037",43,12
"06","039",9,3
"06","041",1,1
"06","043",2,0
"06","045",3,1
"06","047",17,4
"06","053",4,2
"06","057",1,1
"06","059",32,19
"06","061",4,0
"06","065",21,8
"06","067",12,4
"06","069",1,2
"06","071",30,12
"06","073",26,8
"06","077",18,3
"06","079",2,0
"06","081",4,2
"06","083",6,1
"06","085",6,5
"06","087",5,2
"06","093",1,1
"06","095",4,0
"06","097",13,12
"06","099",9,8
"06","101",5,1
"06","103",8,5
"06","107",12,1
"06","111",6,0
"06","113",3,0
"06","115",3,2
"08","001",167,74
"08","003",16,7
"08","005",89,29
"08","007",1,0
"08","009",77,31
"08","011",42,18
"08","013",10,10
"08","015",1,0
"08","017",70,20
"08","019",2,0
"08","021",4,2
"08","023",5,4
"08","025",16,0
"08","027",7,3
"08","029",2,1
"08","031",15,12
"08","035",60,28
"08","037",2,1
"08","039",102,29
"08","041",86,39
"08","043",8,4
"08","049",1,1
"08","055",7,3
"08","057",1,1
"08","059",13,7
"08","061",78,25
"08","063",95,38
"08","067",5,3
"08","069",30,18
"08","071",29,9
"08","073",98,40
"08","075",79,32
"08","077",9,1
"08","079",1,2
"08","081",7,2
"08","083",3,3
"08","085",3,3
"08","087",71,36
"08","089",23,15
"08","093",5,5
"08","095",40,14
"08","097",1,2
"08","099",82,30
"08","101",18,9
"08","103",2,2
"08","105",3,0
"08","107",2,1
"08","109",5,2
"08","115",31,15
"08","119",8,6
"08","121",145,38
"08","123",262,109
"08","125",80,44
"09","001",15,14
"09","003",17,20
"09","005",27,34
"09","007",8,9
"09","009",13,18
"09","011",1,1
"09","013",11,14
"09","015",4,3
"10","001",19,16
"10","003",23,24
"10","005",19,13
