"state_fips","county_fips","n_storms","total_intensity"
"01","000",26,399
"01","001",158,5694
"01","003",241,7295
"01","005",90,2179
"01","007",120,3803
"01","009",213,7908
"01","011",58,1499
"01","013",86,2999
"01","015",155,6070
"01","017",84,2473
"01","019",119,5152
"01","021",129,4503
"01","023",135,5257
"01","025",169,6277
"01","027",99,3340
"01","029",64,2434
"01","031",136,4159
"01","033",362,15532
"01","035",82,3023
"01","037",50,1611
"01","039",169,5545
"01","041",76,2971
"01","043",327,12415
"01","045",186,6677
"01","047",166,4008
"01","049",286,12659
"01","051",204,7062
"01","053",124,4265
"01","055",240,9024
"01","057",133,4573
"01","059",174,7474
"01","061",121,3190
"01","063",61,2050
"01","065",70,2603
"01","067",126,3825
"01","069",270,8185
"01","071",208,9051
"01","073",539,18213
"01","075",203,8046
"01","077",401,16849
"01","079",222,8603
"01","081",138,4086
"01","083",298,10926
"01","085",82,2337
"01","087",67,2215
"01","089",478,20414
"01","091",85,2927
"01","093",189,7167
"01","095",276,11796
"01","097",325,9933
"01","099",110,4081
"01","101",227,6197
"01","103",298,11137
"01","105",51,2016
"01","107",113,3866
"01","109",82,2070
"01","111",101,4636
"01","113",85,2895
"01","115",187,7143
"01","117",267,9622
"01","119",108,3854
"01","121",197,7378
"01","123",152,5599
"01","125",294,11970
"01","127",260,9243
"01","129",108,4079
"01","131",58,1684
"01","133",161,6494
"02","155",3,152
"02","221",1,50
"02","222",1,50
"04","000",8,75
"04","001",16,927
"04","003",113,5261
"04","005",37,1615
"04","007",59,2796
"04","009",61,2396
"04","011",10,340
"04","012",60,3237
"04","013",768,33443
"04","015",142,6007
"04","017",20,965
"04","019",523,23950
"04","021",248,10678
"04","023",46,2213
"04","025",87,3707
"04","027",136,5988
"04","029",21,370
"05","000",11,52
"05","001",167,5523
"05","003",172,5319
"05","005",209,8894
"05","007",346,11698
"05","009",147,5279
"05","011",100,3891
"05","013",82,3589
"05","015",154,5282
"05","017",132,4733
"05","019",220,8476
"05","021",117,2564
"05","023",133,5228
"05","025",113,4297
"05","027",149,5014
"05","029",175,7274
"05","031",195,5183
"05","033",231,8164
"05","035",128,2858
"05","037",69,1422
"05","039",150,5800
"05","041",102,3170
"05","043",131,5069
"05","045",258,9344
"05","047",228,9327
"05","049",114,4877
"05","051",274,10395
"05","053",150,5344
"05","055",99,2327
"05","057",190,6020
"05","059",240,8841
"05","061",183,6845
"05","063",187,7233
"05","065",125,5293
"05","067",181,6814
"05","069",269,9921
"05","071",192,7490
"05","073",138,4494
"05","075",94,2938
"05","077",52,907
"05","079",75,2267
"05","081",142,4288
"05","083",162,6303
"05","085",279,10657
"05","087",196,5927
"05","089",112,4757
"05","091",203,6937
"05","093",177,4350
"05","095",104,3327
"05","097",117,4473
"05","099",108,3831
"05","101",117,4245
"05","103",165,5982
"05","105",128,4455
"05","107",70,1621
"05","109",147,4958
"05","111",118,2943
"05","113",148,5934
"05","114",1,0
"05","115",217,7241
"05","117",137,4997
"05","119",498,18652
"05","121",90,2414
"05","123",84,1786
"05","125",247,9453
"05","127",110,4415
"05","129",101,4317
"05","131",310,11386
"05","133",146,4400
"05","135",103,4201
"05","137",92,3680
"05","139",163,6077
"05","141",142,5575
"05","143",289,8911
"05","145",286,9946
"05","147",96,3793
"05","149",199,7617
"05","157",1,0
"05","171",1,0
"06","000",3,116
"06","001",4,62
"06","007",5,180
"06","011",1,0
"06","015",2,50
"06","017",1,62
"06","019",32,986
"06","021",2,0
"06","023",12,411
"06","025",47,2441
"06","027",12,384
"06","029",33,1534
"06","031",14,315
"06","035",8,456
"06","037",53,2175
"06","039",7,168
"06","041",1,60
"06","043",4,235
"06","045",1,0
"06","047",7,315
"06","049",5,312
"06","051",6,182
"06","055",2,50
"06","057",3,165
"06","059",23,1197
"06","061",2,0
"06","065",93,4615
"06","067",7,403
"06","071",114,5515
"06","073",41,1785
"06","075",2,123
"06","077",3,93
"06","079",6,317
"06","081",5,226
"06","083",11,461
"06","085",2,70
"06","089",3,0
"06","091",1,70
"06","093",5,303
"06","095",1,64
"06","099",2,52
"06","101",1,0
"06","103",4,50
"06","105",2,70
"06","107",27,973
"06","109",1,55
"06","111",3,102
"06","113",3,135
"06","115",3,154
"08","001",75,3486
"08","003",10,481
"08","005",87,4059
"08","007",11,609
"08","009",51,2690
"08","011",37,1750
"08","013",60,2814
"08","014",3,156
"08","015",5,185
"08","017",118,6706
"08","019",1,63
"08","025",18,555
"08","027",3,122
"08","029",13,465
"08","031",80,3490
"08","033",4,191
"08","035",34,1472
"08","037",31,1756
"08","039",50,2639
"08","041",107,5308
"08","043",7,346
"08","045",24,1228
"08","049",6,298
"08","051",11,501
"08","053",2,127
"08","055",1,0
"08","057",6,213
"08","059",31,1683
"08","061",45,2315
"08","063",166,8932
"08","067",13,663
"08","069",114,5098
"08","071",31,1514
"08","073",82,4089
"08","075",108,5584
"08","077",99,4938
"08","081",19,841
"08","083",19,1025
"08","085",18,832
"08","087",131,5611
"08","089",93,4343
"08","093",2,123
"08","095",70,3621
"08","097",6,414
"08","099",86,4245
"08","101",114,5255
"08","103",23,1244
"08","105",3,0
"08","107",17,950
"08","109",6,176
"08","113",2,126
"08","115",33,1770
"08","117",1,0
"08","119",3,165
"08","121",130,6955
"08","123",221,9631
"08","125",175,9219
"09","001",293,12391
"09","003",283,11355
"09","005",321,11311
"09","007",80,3705
"09","009",223,9650
"09","011",85,3309
"09","013",135,5281
"09","015",90,3409
"10","000",7,0
"10","001",163,6183
"10","003",209,7827
"10","005",195,7066
"11","001",183,6716
"12","000",72,2053
"12","001",288,8986
"12","003",87,2158
"12","005",100,3293
"12","007",70,2154
"12","009",299,12111
"12","011",295,13151
"12","013",50,1335
"12","015",59,1282
"12","017",127,2540
"12","019",207,6851
"12","021",79,3241
"12","023",148,3769
"12","025",146,5010
"12","027",38,587
"12","029",39,1273
"12","031",414,15388
"12","033",221,9361
"12","035",154,6070
"12","037",50,1550
"12","039",83,2770
"12","041",55,1629
"12","043",34,1594
"12","045",39,972
"12","047",91,3022
"12","049",47,475
"12","051",36,1152
"12","053",117,2696
"12","055",75,1109
"12","057",373,7821
"12","059",72,2638
"12","061",60,2122
"12","063",138,4055
"12","065",83,2842
"12","066",1,64
"12","067",35,835
"12","069",115,3828
"12","071",161,3473
"12","073",332,12603
"12","075",85,2095
"12","077",33,998
"12","079",127,4875
"12","081",126,1672
"12","083",305,9841
"12","085",40,1315
"12","086",141,7741
"12","087",89,4633
"12","089",165,5372
"12","091",198,7643
"12","093",43,1469
"12","095",242,8695
"12","097",87,2895
"12","099",208,8914
"12","101",186,3949
"12","103",195,5707
"12","105",289,5201
"12","107",255,8189
"12","109",183,6068
"12","111",44,1414
"12","113",221,8098
"12","115",117,2394
"12","117",120,4459
"12","119",62,1615
"12","121",147,4986
"12","123",60,2030
"12","125",48,1100
"12","127",199,7426
"12","129",127,5302
"12","131",128,4570
"12","133",77,2975
"12","139",1,0
"13","000",34,604
"13","001",121,2755
"13","003",72,2322
"13","005",74,2145
"13","007",38,885
"13","009",64,904
"13","011",63,1511
"13","013",75,1346
"13","015",115,2565
"13","017",63,1325
"13","019",65,2300
"13","021",171,3290
"13","023",66,1104
"13","025",97,3372
"13","027",65,2357
"13","029",98,3723
"13","031",219,9935
"13","033",142,6229
"13","035",59,1544
"13","037",34,520
"13","039",206,6899
"13","043",70,2584
"13","045",124,2003
"13","047",51,1311
"13","049",94,3047
"13","051",357,14718
"13","053",48,927
"13","055",62,1349
"13","057",133,3029
"13","059",86,1743
"13","061",34,1150
"13","063",86,1608
"13","065",109,3335
"13","067",153,3356
"13","069",149,4810
"13","071",131,2880
"13","073",121,5592
"13","075",42,1100
"13","077",145,2505
"13","079",76,1355
"13","081",82,1644
"13","083",48,1618
"13","085",62,1368
"13","087",109,3605
"13","089",137,2344
"13","091",81,1704
"13","093",72,907
"13","095",126,3743
"13","097",81,1369
"13","099",56,1380
"13","101",53,1477
"13","103",233,10682
"13","105",96,3684
"13","107",70,1143
"13","109",75,2580
"13","111",45,1213
"13","113",111,2197
"13","115",161,4105
"13","117",89,1988
"13","119",91,3322
"13","121",269,6129
"13","123",49,1595
"13","125",18,628
"13","127",124,4138
"13","129",80,1568
"13","131",88,2876
"13","133",74,1426
"13","135",156,3027
"13","137",99,3582
"13","139",136,2239
"13","141",30,528
"13","143",50,1333
"13","145",105,1857
"13","147",87,3271
"13","149",51,1119
"13","151",89,1693
"13","153",167,3236
"13","155",67,1970
"13","157",97,2020
"13","159",79,1398
"13","161",71,2234
"13","163",60,1304
"13","165",87,3884
"13","167",46,1264
"13","169",78,1064
"13","171",51,707
"13","173",42,1745
"13","175",185,3123
"13","177",78,1675
"13","179",165,7414
"13","181",67,3165
"13","183",91,3818
"13","185",161,6088
"13","187",48,1139
"13","189",54,2515
"13","191",99,4356
"13","193",70,876
"13","195",70,1106
"13","197",49,614
"13","199",79,1522
"13","201",68,1660
"13","205",96,2187
"13","207",100,1486
"13","209",39,340
"13","211",93,1730
"13","213",54,1853
"13","215",158,4285
"13","217",88,1368
"13","219",85,1338
"13","221",69,1379
"13","223",68,1268
"13","225",60,1111
"13","227",34,890
"13","229",80,2019
"13","231",42,672
"13","233",91,1848
"13","235",68,979
"13","237",62,1335
"13","239",21,797
"13","241",78,3312
"13","243",51,1090
"13","245",170,6522
"13","247",49,510
"13","249",27,601
"13","251",187,8250
"13","253",37,1215
"13","255",77,1209
"13","257",98,3740
"13","259",50,866
"13","261",87,1520
"13","263",45,552
"13","265",17,100
"13","267",130,5074
"13","269",61,1084
"13","271",63,945
"13","273",55,1000
"13","275",106,3160
"13","277",88,2088
"13","279",63,946
"13","281",19,521
"13","283",31,466
"13","285",100,1484
"13","287",59,1255
"13","289",78,1459
"13","291",25,617
"13","293",70,1385
"13","295",88,2375
"13","297",96,1866
"13","299",142,4177
"13","301",31,556
"13","303",78,1614
"13","305",129,4152
"13","307",27,405
"13","309",41,979
"13","311",53,826
"13","313",90,2319
"13","315",49,1150
"13","317",45,887
"13","319",66,1461
"13","321",104,2721
"13","510",11,168
"15","001",3,209
"15","003",7,209
"15","007",8,412
"15","009",3,150
"16","000",3,110
"16","001",73,2821
"16","003",11,365
"16","005",61,2594
"16","007",27,1506
"16","009",8,212
"16","011",101,4315
"16","013",31,1568
"16","015",20,738
"16","017",44,1800
"16","019",56,2444
"16","021",12,542
