"","state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
"3.39",1,1,"Alabama","Autauga County",3,54684,43326,9747,255,494,49,53374,1310
"3.172",1,3,"Alabama","Baldwin County",3,183216,160522,17389,1341,1376,126,175124,8092
"3.305",1,5,"Alabama","Barbour County",3,27336,13910,12898,156,119,49,25980,1356
"3.438",1,7,"Alabama","Bibb County",3,22879,17529,5047,69,19,32,22466,413
"3.571",1,9,"Alabama","Blount County",3,57344,55367,823,355,131,61,52680,4664
"3.704",1,11,"Alabama","Bullock County",3,10886,2881,7719,86,20,78,10096,790
"3.837",1,13,"Alabama","Butler County",3,20945,11437,9101,64,192,7,20751,194
"3.970",1,15,"Alabama","Calhoun County",3,118443,90549,24478,590,891,111,114532,3911
"3.1103",1,17,"Alabama","Chambers County",3,34111,20223,13271,71,195,15,33570,541
"3.1236",1,19,"Alabama","Cherokee County",3,25968,24215,1205,134,54,6,25643,325
"3.1369",1,21,"Alabama","Chilton County",3,43682,38481,4348,207,146,83,40238,3444
"3.1502",1,23,"Alabama","Choctaw County",3,13849,7757,5996,19,15,0,13771,78
"3.1635",1,25,"Alabama","Clarke County",3,25782,14088,11350,102,81,4,25497,285
"3.1768",1,27,"Alabama","Clay County",3,13886,11532,2045,58,28,0,13484,402
"3.1901",1,29,"Alabama","Cleburne County",3,14969,14232,509,48,24,10,14660,309
"3.2034",1,31,"Alabama","Coffee County",3,50179,38862,8521,726,666,225,46968,3211
"3.2167",1,33,"Alabama","Colbert County",3,54505,44308,8840,291,242,20,53395,1110
"3.2300",1,35,"Alabama","Conecuh County",3,13219,6828,6194,45,17,1,13052,167
"3.2433",1,37,"Alabama","Coosa County",3,11757,7818,3732,64,17,17,11530,227
"3.2566",1,39,"Alabama","Covington County",3,37784,32148,4751,234,158,1,37289,495
"3.2699",1,41,"Alabama","Crenshaw County",3,13866,10156,3238,57,207,8,13652,214
"3.2832",1,43,"Alabama","Cullman County",3,80454,77847,926,464,347,33,76993,3461
"3.2965",1,45,"Alabama","Dale County",3,50340,38191,9766,399,539,51,47503,2837
"3.3098",1,47,"Alabama","Dallas County",3,43836,12820,30478,83,160,11,43526,310
"3.3231",1,49,"Alabama","DeKalb County",3,71118,65951,1268,1539,267,611,61424,9694
"3.3364",1,51,"Alabama","Elmore County",3,79444,61313,16126,321,549,86,77297,2147
"3.3497",1,53,"Alabama","Escambia County",3,38312,24092,12253,1299,97,20,37579,733
"3.3630",1,55,"Alabama","Etowah County",3,104501,85466,15976,578,735,334,101044,3457
"3.3763",1,57,"Alabama","Fayette County",3,17247,15007,1981,62,40,0,17040,207
"3.3896",1,59,"Alabama","Franklin County",3,31755,29443,1294,467,81,37,27005,4750
"3.4029",1,61,"Alabama","Geneva County",3,26793,23518,2569,238,73,16,25857,936
"3.4162",1,63,"Alabama","Greene County",3,8992,1597,7327,17,12,0,8927,65
"3.4295",1,65,"Alabama","Hale County",3,15727,6318,9273,24,36,1,15584,143
"3.4428",1,67,"Alabama","Henry County",3,17287,12040,4964,56,59,2,16891,396
"3.4561",1,69,"Alabama","Houston County",3,101787,72378,26406,488,853,59,98758,3029
"3.4694",1,71,"Alabama","Jackson County",3,53159,48886,1830,812,229,63,51838,1321
"3.4827",1,73,"Alabama","Jefferson County",3,658302,361201,278432,2382,9387,426,632863,25439
"3.4960",1,75,"Alabama","Lamar County",3,14499,12651,1646,22,6,2,14321,178
"3.5093",1,77,"Alabama","Lauderdale County",3,92726,81027,9319,363,733,46,90631,2095
"3.5226",1,79,"Alabama","Lawrence County",3,34306,26882,3949,1992,44,7,33722,584
"3.5359",1,81,"Alabama","Lee County",3,140799,102027,32311,517,3801,152,136135,4664
"3.5492",1,83,"Alabama","Limestone County",3,83179,69196,10721,720,988,134,78579,4600
"3.5625",1,85,"Alabama","Lowndes County",3,11285,2897,8280,25,26,0,11198,87
"3.5758",1,87,"Alabama","Macon County",3,21542,3397,17787,30,82,3,21293,249
"3.5891",1,89,"Alabama","Madison County",3,336239,235238,81633,2895,8478,460,320668,15571
"3.6024",1,91,"Alabama","Marengo County",3,20951,9841,10835,39,55,37,20598,353
"3.6157",1,93,"Alabama","Marion County",3,30810,29137,1197,101,58,17,30173,637
"3.6290",1,95,"Alabama","Marshall County",3,93170,88130,1772,1104,530,232,81843,11327
"3.6423",1,97,"Alabama","Mobile County",3,413432,252214,143851,3921,7719,257,403383,10049
"3.6556",1,99,"Alabama","Monroe County",3,23003,12747,9603,257,70,10,22786,217
"3.6689",1,101,"Alabama","Montgomery County",3,229795,94524,126563,777,4955,277,221516,8279
"3.6822",1,103,"Alabama","Morgan County",3,119557,100759,14513,1313,757,157,110383,9174
"3.6955",1,105,"Alabama","Perry County",3,10536,3190,7252,20,30,5,10417,119
"3.7088",1,107,"Alabama","Pickens County",3,19706,11196,8207,32,36,74,19385,321
"3.7221",1,109,"Alabama","Pike County",3,32959,19433,12127,201,683,38,32225,734
"3.7354",1,111,"Alabama","Randolph County",3,22928,17894,4608,91,64,10,22276,652
"3.7487",1,113,"Alabama","Russell County",3,53279,29272,22374,256,255,129,51277,2002
