"","state_county_fips","for.measures","STATE","County.name","Division","X1993","X1993.1","January..1941.70","January..1941.70.1","July..1941.70","July..1941.70.1","topography.code","Water.area","Water.area...100","JAN.TEMP...Z","JAN.SUN...Z","JUL.TEMP...Z","JUL.HUM...Z","TOPOG...Z","LN.WATER..AREA...Z","Scale","X.1.Low..7.High"
"1",1001,1001,"AL","AUTAUGA",6,2,2,47.4,130,81,66,14,1.4,4.944,1.20277,-0.64758,-0.13206,-0.68502,0.77701,0.26585,0.78,4
"2",1003,1003,"AL","BALDWIN",6,2,2,51.9,152,80.6,72,4,21.24,7.661,1.57504,0.01482,0.36308,-1.09576,-0.73966,1.70428,1.82,4
"3",1005,1005,"AL","BARBOUR",6,6,5,48.8,152,81,69,4,2.17,5.378,1.31859,0.01482,-0.01148,-0.89039,-0.73966,0.4957,0.19,4
"4",1007,1007,"AL","BIBB",6,6,6,44.8,130,80.8,66,14,0.5,3.916,0.98768,-0.64758,-0.30223,-0.68502,0.77701,-0.27812,-0.15,3
"5",1009,1009,"AL","BLOUNT",6,2,2,41.9,130,78.4,66,14,0.76,4.336,0.74778,-0.64758,0.0933,-0.68502,0.77701,-0.05592,0.23,4
"6",1011,1011,"AL","BULLOCK",6,6,6,47.8,149,80.2,67,4,0.17,2.81,1.23586,-0.07551,0.11749,-0.75347,-0.73966,-0.86356,-1.08,3
"7",1013,1013,"AL","BUTLER",6,7,8,49.2,152,80.8,69,4,0.13,2.602,1.35168,0.01482,0.07675,-0.89039,-0.73966,-0.97346,-1.16,3
"8",1015,1015,"AL","CALHOUN",6,3,2,42.8,130,79.2,66,15,0.63,4.141,0.82223,-0.64758,-0.04428,-0.68502,0.92868,-0.15897,0.22,4
"9",1017,1017,"AL","CHAMBERS",6,5,8,44.2,149,79.2,67,5,0.95,4.557,0.93805,-0.07551,0.0763,-0.75347,-0.588,0.06137,-0.34,3
"10",1019,1019,"AL","CHEROKEE",6,6,6,42.8,130,79.2,66,9,7.81,6.66,0.82223,-0.64758,-0.04428,-0.68502,0.01867,1.17434,0.64,4
"11",1021,1021,"AL","CHILTON",6,6,6,44.6,130,80,66,14,0.96,4.566,0.97114,-0.64758,-0.10435,-0.68502,0.77701,0.06603,0.38,4
"12",1023,1023,"AL","CHOCTAW",6,9,9,47.4,152,80.5,69,13,0.8,4.377,1.20277,0.01482,0.00238,-0.89039,0.62534,-0.03413,0.92,4
"13",1025,1025,"AL","CLARKE",6,7,8,47.4,152,80.5,69,14,1.13,4.726,1.20277,0.01482,0.00238,-0.89039,0.77701,0.15046,1.26,4
"14",1027,1027,"AL","CLAY",6,9,9,44.2,149,79.2,67,15,0.15,2.731,0.93805,-0.07551,0.0763,-0.75347,0.92868,-0.9055,0.21,4
"15",1029,1029,"AL","CLEBURNE",6,6,4,44.2,149,79.2,67,15,0.15,2.73,0.93805,-0.07551,0.0763,-0.75347,0.92868,-0.90609,0.21,4
"16",1031,1031,"AL","COFFEE",6,4,5,50.5,152,80.5,69,4,0.2,2.973,1.45922,0.01482,0.26938,-0.89039,-0.73966,-0.77748,-0.66,3
