"","V1","V2","V3","V4","V5"
"1","AL",1,1,"Autauga County","H1"
"2","AL",1,3,"Baldwin County","H1"
"3","AL",1,5,"Barbour County","H1"
"4","AL",1,7,"Bibb County","H1"
"5","AL",1,9,"Blount County","H1"
"6","AL",1,11,"Bullock County","H1"
"7","AL",1,13,"Butler County","H1"
"8","AL",1,15,"Calhoun County","H1"
"9","AL",1,17,"Chambers County","H1"
"10","AL",1,19,"Cherokee County","H1"
"11","AL",1,21,"Chilton County","H1"
"12","AL",1,23,"Choctaw County","H1"
"13","AL",1,25,"Clarke County","H1"
"14","AL",1,27,"Clay County","H1"
"15","AL",1,29,"Cleburne County","H1"
"16","AL",1,31,"Coffee County","H1"
"17","AL",1,33,"Colbert County","H1"
"18","AL",1,35,"Conecuh County","H1"
"19","AL",1,37,"Coosa County","H1"
"20","AL",1,39,"Covington County","H1"
"21","AL",1,41,"Crenshaw County","H1"
"22","AL",1,43,"Cullman County","H1"
"23","AL",1,45,"Dale County","H1"
"24","AL",1,47,"Dallas County","H1"
"25","AL",1,49,"DeKalb County","H1"
"26","AL",1,51,"Elmore County","H1"
"27","AL",1,53,"Escambia County","H1"
"28","AL",1,55,"Etowah County","H1"
"29","AL",1,57,"Fayette County","H1"
"30","AL",1,59,"Franklin County","H1"
"31","AL",1,61,"Geneva County","H1"
"32","AL",1,63,"Greene County","H1"
"33","AL",1,65,"Hale County","H1"
"34","AL",1,67,"Henry County","H1"
"35","AL",1,69,"Houston County","H1"
"36","AL",1,71,"Jackson County","H1"
"37","AL",1,73,"Jefferson County","H1"
"38","AL",1,75,"Lamar County","H1"
"39","AL",1,77,"Lauderdale County","H1"
"40","AL",1,79,"Lawrence County","H1"
"41","AL",1,81,"Lee County","H1"
"42","AL",1,83,"Limestone County","H1"
"43","AL",1,85,"Lowndes County","H1"
"44","AL",1,87,"Macon County","H1"
"45","AL",1,89,"Madison County","H1"
"46","AL",1,91,"Marengo County","H1"
"47","AL",1,93,"Marion County","H1"
"48","AL",1,95,"Marshall County","H1"
"49","AL",1,97,"Mobile County","H1"
"50","AL",1,99,"Monroe County","H1"
"51","AL",1,101,"Montgomery County","H1"
"52","AL",1,103,"Morgan County","H1"
"53","AL",1,105,"Perry County","H1"
"54","AL",1,107,"Pickens County","H1"
"55","AL",1,109,"Pike County","H1"
"56","AL",1,111,"Randolph County","H1"
"57","AL",1,113,"Russell County","H1"
"58","AL",1,115,"St. Clair County","H1"
"59","AL",1,117,"Shelby County","H1"
"60","AL",1,119,"Sumter County","H1"
"61","AL",1,121,"Talladega County","H1"
"62","AL",1,123,"Tallapoosa County","H1"
"63","AL",1,125,"Tuscaloosa County","H1"
"64","AL",1,127,"Walker County","H1"
"65","AL",1,129,"Washington County","H1"
"66","AL",1,131,"Wilcox County","H1"
"67","AL",1,133,"Winston County","H1"
"68","AK",2,13,"Aleutians East Borough","H1"
"69","AK",2,16,"Aleutians West Census Area","H5"
"70","AK",2,20,"Anchorage Municipality","H6"
"71","AK",2,50,"Bethel Census Area","H5"
"72","AK",2,60,"Bristol Bay Borough","H1"
"73","AK",2,68,"Denali Borough","H1"
"74","AK",2,70,"Dillingham Census Area","H5"
"75","AK",2,90,"Fairbanks North Star Borough","H1"
"76","AK",2,100,"Haines Borough","H1"
"77","AK",2,105,"Hoonah-Angoon Census Area","H5"
"78","AK",2,110,"Juneau City and Borough","H6"
"79","AK",2,122,"Kenai Peninsula Borough","H1"
"80","AK",2,130,"Ketchikan Gateway Borough","H1"
"81","AK",2,150,"Kodiak Island Borough","H1"
"82","AK",2,164,"Lake and Peninsula Borough","H1"
"83","AK",2,170,"Matanuska-Susitna Borough","H1"
"84","AK",2,180,"Nome Census Area","H5"
"85","AK",2,185,"North Slope Borough","H1"
"86","AK",2,188,"Northwest Arctic Borough","H1"
"87","AK",2,195,"Petersburg Census Area","H5"
"88","AK",2,198,"Prince of Wales-Hyder Census Area","H5"
"89","AK",2,220,"Sitka City and Borough","H6"
"90","AK",2,230,"Skagway Municipality","H1"
"91","AK",2,240,"Southeast Fairbanks Census Area","H5"
"92","AK",2,261,"Valdez-Cordova Census Area","H5"
"93","AK",2,270,"Wade Hampton Census Area","H5"
"94","AK",2,275,"Wrangell City and Borough","H1"
"95","AK",2,282,"Yakutat City and Borough","H1"
"96","AK",2,290,"Yukon-Koyukuk Census Area","H5"
"97","AZ",4,1,"Apache County","H1"
"98","AZ",4,3,"Cochise County","H1"
"99","AZ",4,5,"Coconino County","H1"
"100","AZ",4,7,"Gila County","H1"
"101","AZ",4,9,"Graham County","H1"
"102","AZ",4,11,"Greenlee County","H1"
"103","AZ",4,12,"La Paz County","H1"
"104","AZ",4,13,"Maricopa County","H1"
"105","AZ",4,15,"Mohave County","H1"
"106","AZ",4,17,"Navajo County","H1"
"107","AZ",4,19,"Pima County","H1"
"108","AZ",4,21,"Pinal County","H1"
"109","AZ",4,23,"Santa Cruz County","H1"
"110","AZ",4,25,"Yavapai County","H1"
"111","AZ",4,27,"Yuma County","H1"
"112","AR",5,1,"Arkansas County","H1"
"113","AR",5,3,"Ashley County","H1"
"114","AR",5,5,"Baxter County","H1"
"115","AR",5,7,"Benton County","H1"
"116","AR",5,9,"Boone County","H1"
"117","AR",5,11,"Bradley County","H1"
"118","AR",5,13,"Calhoun County","H1"
"119","AR",5,15,"Carroll County","H1"
"120","AR",5,17,"Chicot County","H1"
"121","AR",5,19,"Clark County","H1"
"122","AR",5,21,"Clay County","H1"
"123","AR",5,23,"Cleburne County","H1"
"124","AR",5,25,"Cleveland County","H1"
"125","AR",5,27,"Columbia County","H1"
"126","AR",5,29,"Conway County","H1"
"127","AR",5,31,"Craighead County","H1"
"128","AR",5,33,"Crawford County","H1"
"129","AR",5,35,"Crittenden County","H1"
"130","AR",5,37,"Cross County","H1"
"131","AR",5,39,"Dallas County","H1"
"132","AR",5,41,"Desha County","H1"
"133","AR",5,43,"Drew County","H1"
"134","AR",5,45,"Faulkner County","H1"
